[[-19.5 -19.5]
 [-18.5 -20.5]
 [-17.5 -21.5]
 [-16.5 -22.5]
 [-15.5 -24.5]
 [-14.5 -25.5]
 [-14.5 -24.5]
 [-13.5 -26.5]
 [-13.5 -25.5]
 [-12.5 -27.5]
 [-10.5 -29.5]
 [ -9.5 -30.5]
 [ -8.5 -31.5]
 [ -7.5 -33.5]
 [ -6.5 -34.5]
 [ -6.5 -33.5]
 [ 16.5 -23.5]
 [ 24.5 -28.5]][[-19.5 -19.5]
 [-18.5 -20.5]
 [-17.5 -21.5]
 [-16.5 -22.5]
 [-15.5 -24.5]
 [-14.5 -25.5]
 [-14.5 -24.5]
 [-13.5 -26.5]
 [-13.5 -25.5]
 [-12.5 -27.5]
 [-10.5 -29.5]
 [ -9.5 -30.5]
 [ -8.5 -31.5]
 [ -7.5 -33.5]
 [ -6.5 -34.5]
 [ -6.5 -33.5]
 [  3.5 -90.5]
 [  3.5 -86.5]
 [  3.5 -85.5]
 [  4.5 -89.5]
 [  4.5 -88.5]
 [  4.5 -87.5]
 [  4.5 -85.5]
 [  4.5 -84.5]
 [  4.5 -83.5]
 [  4.5 -82.5]
 [  5.5 -89.5]
 [  5.5 -88.5]
 [  5.5 -87.5]
 [  5.5 -86.5]
 [  5.5 -85.5]
 [  5.5 -84.5]
 [  5.5 -83.5]
 [  5.5 -82.5]
 [  5.5 -81.5]
 [  6.5 -87.5]
 [  6.5 -86.5]
 [  6.5 -81.5]
 [  7.5 -89.5]
 [  7.5 -88.5]
 [  7.5 -87.5]
 [  7.5 -85.5]
 [  7.5 -84.5]
 [  7.5 -83.5]
 [  7.5 -82.5]
 [ 16.5 -23.5]
 [ 24.5 -28.5]][[ -19.5  -19.5]
 [ -18.5  -20.5]
 [ -17.5  -21.5]
 [ -16.5  -22.5]
 [ -15.5  -24.5]
 [ -14.5  -25.5]
 [ -14.5  -24.5]
 [ -13.5  -26.5]
 [ -13.5  -25.5]
 [ -12.5  -27.5]
 [ -10.5  -29.5]
 [  -9.5  -30.5]
 [  -8.5  -31.5]
 [  -7.5  -33.5]
 [  -6.5  -34.5]
 [  -6.5  -33.5]
 [   2.5 -228.5]
 [   2.5 -226.5]
 [   2.5 -157.5]
 [   2.5 -156.5]
 [   3.5 -233.5]
 [   3.5 -230.5]
 [   3.5 -229.5]
 [   3.5 -228.5]
 [   3.5 -227.5]
 [   3.5 -225.5]
 [   3.5 -158.5]
 [   3.5 -157.5]
 [   3.5 -156.5]
 [   3.5 -155.5]
 [   3.5 -154.5]
 [   3.5 -153.5]
 [   3.5 -152.5]
 [   3.5 -151.5]
 [   3.5 -150.5]
 [   3.5  -90.5]
 [   3.5  -86.5]
 [   3.5  -85.5]
 [   4.5 -230.5]
 [   4.5 -228.5]
 [   4.5 -225.5]
 [   4.5 -156.5]
 [   4.5 -154.5]
 [   4.5 -153.5]
 [   4.5 -152.5]
 [   4.5 -151.5]
 [   4.5 -149.5]
 [   4.5  -89.5]
 [   4.5  -88.5]
 [   4.5  -87.5]
 [   4.5  -85.5]
 [   4.5  -84.5]
 [   4.5  -83.5]
 [   4.5  -82.5]
 [   5.5 -232.5]
 [   5.5 -231.5]
 [   5.5 -230.5]
 [   5.5 -229.5]
 [   5.5 -228.5]
 [   5.5 -227.5]
 [   5.5 -226.5]
 [   5.5 -225.5]
 [   5.5 -224.5]
 [   5.5 -156.5]
 [   5.5 -155.5]
 [   5.5 -154.5]
 [   5.5 -153.5]
 [   5.5 -152.5]
 [   5.5 -151.5]
 [   5.5 -150.5]
 [   5.5 -149.5]
 [   5.5  -89.5]
 [   5.5  -88.5]
 [   5.5  -87.5]
 [   5.5  -86.5]
 [   5.5  -85.5]
 [   5.5  -84.5]
 [   5.5  -83.5]
 [   5.5  -82.5]
 [   5.5  -81.5]
 [   6.5  -87.5]
 [   6.5  -86.5]
 [   6.5  -81.5]
 [   7.5  -89.5]
 [   7.5  -88.5]
 [   7.5  -87.5]
 [   7.5  -85.5]
 [   7.5  -84.5]
 [   7.5  -83.5]
 [   7.5  -82.5]
 [  16.5  -23.5]
 [  24.5  -28.5]][[ -19.5  -19.5]
 [ -18.5  -20.5]
 [ -17.5  -21.5]
 [ -16.5  -22.5]
 [ -15.5  -24.5]
 [ -14.5  -25.5]
 [ -14.5  -24.5]
 [ -13.5  -26.5]
 [ -13.5  -25.5]
 [ -12.5  -27.5]
 [ -10.5  -29.5]
 [  -9.5  -30.5]
 [  -8.5  -31.5]
 [  -7.5  -33.5]
 [  -6.5  -34.5]
 [  -6.5  -33.5]
