date,level,x,y,z
2023/03/01 00:06:09,logs_a,{},1677629169.073009,{},[],{},[],{},[],{},[],{}1677629169.073189
2023/03/01 00:06:09,logs_a,{},1677629169.12492,{},[],{},[],{},[],{},[],{}1677629169.125012
2023/03/01 00:06:09,logs_a,{},1677629169.1786907,{},[],{},[],{},[],{},[],{}1677629169.178789
2023/03/01 00:06:09,logs_a,{},1677629169.2906482,{},[0.12, 0.09, -3.19],{},[1.22, 1.44, 8.71],{},[0.48, 0.08, 0.21],{},[0.0, 0.0, 0.0],{}1677629169.290762
2023/03/01 00:06:09,logs_a,{},1677629169.4531221,{},[-0.11, 0.08, -2.9, -2.49],{},[1.21, 1.32, 8.81, 12.81],{},[-0.06, 0.26, -0.31, 2.36],{},[0.0, 0.0, 0.0, 0.0],{}1677629169.453226
2023/03/01 00:06:09,logs_a,{},1677629169.5603678,{},[-0.12, 0.13, -2.9],{},[1.1, 1.31, 8.81],{},[0.57, 0.28, -0.31],{},[0.0, 0.0, 0.0],{}1677629169.560463
2023/03/01 00:06:09,logs_a,{},1677629169.6663609,{},[-0.12, 0.12, -2.9],{},[1.23, 1.24, 8.81],{},[0.18, 0.43, 0.01],{},[0.0, 0.0, 0.0],{}1677629169.666451
2023/03/01 00:06:09,logs_a,{},1677629169.7748916,{},[-0.08, 0.13, -3.19],{},[1.23, 1.31, 8.71],{},[0.15, 0.26, 0.03],{},[0.0, 0.0, 0.0],{}1677629169.774989
2023/03/01 00:06:09,logs_a,{},1677629169.8851156,{},[0.13, -3.19],{},[1.32, 8.71],{},[0.34, 0.02],{},[0.0, 0.0],{}1677629169.885995
2023/03/01 00:06:09,logs_a,{},1677629169.9960637,{},[-0.08, 0.08, -3.19],{},[1.18, 1.31, 8.71],{},[0.4, 0.29, 0.2],{},[0.0, 0.0, 0.0],{}1677629169.996171
2023/03/01 00:06:10,logs_a,{},1677629170.1758502,{},[-0.08, 0.13, -3.19],{},[1.15, 1.32, 8.71],{},[0.48, 0.34, 0.05],{},[0.0, 0.0, 0.0],{}1677629170.175948
2023/03/01 00:06:10,logs_a,{},1677629170.284089,{},[0.25, -3.19],{},[2.58, 8.71],{},[0.47, 0.15],{},[0.0, 0.0],{}1677629170.284196
2023/03/01 00:06:10,logs_a,{},1677629170.3937256,{},[-0.08, 0.16, -3.19],{},[1.21, 1.25, 8.71],{},[0.17, 0.4, 0.06],{},[0.0, 0.0, 0.0],{}1677629170.393821
2023/03/01 00:06:10,logs_a,{},1677629170.5575414,{},[-0.08, 0.17, -3.19],{},[1.21, 1.16, 8.71],{},[0.29, 0.65, -0.01],{},[0.0, 0.0, 0.0],{}1677629170.557648
2023/03/01 00:06:10,logs_a,{},1677629170.664412,{},[-0.12, -3.19],{},[1.22, 8.71],{},[0.21, -0.01],{},[0.0, 0.0],{}1677629170.664501
2023/03/01 00:06:10,logs_a,{},1677629170.7728815,{},[-0.12, 0.17, -2.9],{},[1.23, 1.28, 8.81],{},[0.15, 0.37, 0.1],{},[0.0, 0.0, 0.0],{}1677629170.772975
2023/03/01 00:06:10,logs_a,{},1677629170.881854,{},[-0.08, 0.13, -0.31, -3.19],{},[1.23, 1.29, 2.38, 8.71],{},[0.18, 0.35, 0.74, -0.04],{},[0.0, 0.0, 0.0, 0.0],{}1677629170.881954
2023/03/01 00:06:10,logs_a,{},1677629170.9915934,{},[0.08, -2.9],{},[1.29, 8.81],{},[0.36, -0.05],{},[0.0, 0.0],{}1677629170.991695
2023/03/01 00:06:11,logs_a,{},1677629171.1557305,{},[-0.08, 0.13, -2.9],{},[1.24, 1.33, 8.81],{},[0.12, 0.28, 0.4],{},[0.0, 0.0, 0.0],{}1677629171.155821
