date,level,x,y,z
2023/02/28 14:01:07,logs_a,-0.07,0.02,0.011677592867.973975
2023/02/28 14:01:07,logs_a,0.05,0.01,-0.051677592867.976529
2023/02/28 14:01:07,logs_a,2.95,1.6,0.321677592867.978019
2023/02/28 14:01:07,logs_a,3.23,1.1,1.031677592867.979452
2023/02/28 14:01:07,logs_a,4.94,7.59,2.131677592867.980712
2023/02/28 14:01:07,logs_a,2.04,5.18,-7.451677592867.981885
2023/02/28 14:01:07,logs_a,4.92,9.24,0.761677592867.983057
2023/02/28 14:01:07,logs_a,0.0,12.8,1.531677592867.984052
2023/02/28 14:01:08,logs_a,-0.07,0.02,0.011677592868.070625
2023/02/28 14:01:08,logs_a,0.05,0.01,-0.051677592868.072250
2023/02/28 14:01:08,logs_a,3.1,1.33,0.571677592868.073865
2023/02/28 14:01:08,logs_a,3.23,1.44,0.441677592868.075175
2023/02/28 14:01:08,logs_a,4.94,7.57,2.181677592868.076356
2023/02/28 14:01:08,logs_a,2.04,5.36,-7.331677592868.077555
2023/02/28 14:01:08,logs_a,4.92,9.18,1.341677592868.078848
2023/02/28 14:01:08,logs_a,-0.07,0.02,0.011677592868.172255
2023/02/28 14:01:08,logs_a,0.05,0.01,-0.051677592868.174204
2023/02/28 14:01:08,logs_a,3.21,0.91,0.761677592868.175604
2023/02/28 14:01:08,logs_a,3.23,1.33,0.711677592868.176751
2023/02/28 14:01:08,logs_a,4.94,7.57,2.191677592868.177919
2023/02/28 14:01:08,logs_a,2.04,5.34,-7.341677592868.178974
2023/02/28 14:01:08,logs_a,4.59,9.3,1.651677592868.180034
2023/02/28 14:01:08,logs_a,0.0,12.8,2.061677592868.180948
2023/02/28 14:01:08,logs_a,1.8,11.23,2.031677592868.181839
2023/02/28 14:01:08,logs_a,-0.07,0.02,0.011677592868.270855
2023/02/28 14:01:08,logs_a,0.05,0.01,-0.051677592868.272477
2023/02/28 14:01:08,logs_a,2.95,1.56,0.471677592868.274094
2023/02/28 14:01:08,logs_a,3.34,1.13,0.511677592868.275485
2023/02/28 14:01:08,logs_a,4.94,7.58,2.171677592868.276481
2023/02/28 14:01:08,logs_a,2.04,5.87,-6.931677592868.277487
2023/02/28 14:01:08,logs_a,4.59,9.27,1.771677592868.278409
2023/02/28 14:01:08,logs_a,0.0,12.93,1.01677592868.279380
2023/02/28 14:01:08,logs_a,-0.07,0.02,0.011677592868.370919
